pitcher,player_name
661403,Emmanuel Clase
542585,José Cisnero
625643,Reynaldo López
656529,Sam Hentges
615698,Cal Quantrill
622259,Trey Wingenter
666214,Joey Wentz
623451,Jackson Stephens
642216,Allan Winans
592866,Trevor Williams
543351,Jay Jackson
621363,Colin Poche
541640,Erasmo Ramírez
579328,Yusei Kikuchi
641793,Zack Littell
650644,Aaron Civale
663158,Robert Suarez
682010,Lane Ramsey
607259,Nick Martínez
656302,Dylan Cease
676477,Garrett Whitlock
605347,Jorge López
601713,Nick Pivetta
607644,John Means
680742,Jonathan Bowlan
598286,Nick Ramirez
641871,Keynan Middleton
656353,Tucker Davidson
502083,Zach McAllister
681190,Randy Vásquez
543475,Jordan Lyles
621199,Matthew Bowman
607074,Carlos Rodón
686730,Carson Spiers
606930,Jacob Barnes
605498,Andrew Suárez
682227,Brandon Williamson
663765,Jake Woodford
657746,Joe Ryan
621389,Ty Blach
669721,Davis Daniel
660906,Francisco Pérez
661309,Adrián Martinez
686610,Ken Waldichuk
681217,Chase Silseth
621016,José Cuas
676961,Caleb Boushley
643410,Mark Leiter
640470,Adbert Alzolay
677076,Clayton Andrews
657240,Julian Merryweather
669060,Bryse Wilson
543294,Kyle Hendricks
607067,Colin Rea
519151,Ryan Pressly
656464,Kevin Ginkel
685314,Andrew Saalfrank
657044,Ryan Thompson
668678,Zac Gallen
664353,José Urquidy
660813,Brusdar Graterol
663546,Sean Hjelle
523260,Joe Kelly
518489,Ryan Brasier
458681,Lance Lynn
676775,Keaton Winn
608678,Dominic Leone
656641,Jacob Latz
519293,Will Smith
656271,Brock Burke
543135,Nathan Eovaldi
693433,Bryan Woo
607481,Aaron Bummer
657053,Touki Toussaint
682847,Luis Ortiz
554430,Zack Wheeler
500743,Miguel Rojas
571946,Shelby Miller
623167,Chris Flexen
642232,Ryan Yarbrough
666200,Jesús Luzardo
701643,Grant Hartwig
656849,David Peterson
672782,Yoendrys Gómez
605135,Chris Bassitt
596133,Luke Weaver
677161,Zack Kelly
665152,Dean Kremer
519242,Chris Sale
685107,Anthony Veneziano
671345,Jason Foley
666142,Cole Ragans
687830,Sawyer Gipson-Long
686973,Louis Varland
628317,Kenta Maeda
668674,Lucas Erceg
665622,Luis Medina
543243,Sonny Gray
657140,Kyle Wright
700363,AJ Smith-Shawver
573186,Marcus Stroman
547973,Aroldis Chapman
656756,Jordan Montgomery
669302,Logan Gilbert
663629,Ethan Small
527054,Julio Teherán
641712,Dakota Hudson
669203,Corbin Burnes
456501,Johnny Cueto
673540,Kodai Senga
640455,Sean Manaea
663362,Matt Waldron
608032,Carlos Estévez
656288,Griffin Canning
669684,Chris Murphy
678394,Brayan Bello
607192,Tyler Glasnow
669456,Shane Bieber
650960,Daniel Duarte
671096,Andrew Abbott
623149,Paul Sewald
694297,Brandon Pfaadt
663658,Thaddeus Ward
680570,Grayson Rodriguez
571578,Patrick Corbin
592229,Dylan Covey
670912,Johan Oviedo
624133,Ranger Suárez
663804,Jackson Kowar
669373,Tarik Skubal
543037,Gerrit Cole
621244,José Berríos
670241,Darius Vines
646241,Enmanuel De Jesus
641627,Trevor Gott
664192,Joey Lucchesi
666129,Braxton Garrett
683155,Joey Estes
641154,Pablo López
668868,Zack Thompson
489119,Wade Miley
664285,Framber Valdez
682243,Bryce Miller
681911,Alex Vesia
686218,Emmet Sheehan
663562,Noah Davis
502624,Chase Anderson
607625,Seth Lugo
622072,Alex Wood
676395,Robert Garcia
680686,Josiah Gray
681857,Reese Olson
605400,Aaron Nola
656605,Mitch Keller
592332,Kevin Gausman
657006,Justin Steele
693821,Bryce Elder
621107,Zach Eflin
605200,Zach Davies
592773,Ryne Stanek
453268,Daniel Bard
663372,Ryan Feltner
688427,Kolton Ingram
665896,José Marte
672282,Reid Detmers
608717,Chris Stratton
621112,Paul Blackburn
657277,Logan Webb
605483,Blake Snell
642545,Jaime Barría
592351,Jon Gray
663776,Patrick Sandoval
656266,J. B. Bukauskas
642547,Freddy Peralta
571670,Dylan Floro
664744,Jose Espada
592426,Luke Jackson
680739,Josh Winder
547184,Michael Kelly
571882,Derek Law
663559,Bailey Falter
605540,Brandon Woodruff
596001,Jakob Junis
641585,J. P. France
450203,Charlie Morton
642133,Rowdy Tellez
607732,Jacob Stallings
677944,Slade Cecconi
592094,Jason Adam
455119,Chris Martin
646242,Jhonathan Díaz
694813,Gavin Stone
608331,Max Fried
663623,Jake Irvin
670059,Colin Holderman
502202,Brad Boxberger
663878,Nate Pearson
656257,Jeff Brigham
657508,Mike Baumann
683769,Hunter Gaddis
687922,Easton Lucas
518397,Scott Alexander
669947,Jesse Scholtens
656629,Michael Kopech
592848,Zack Weiss
691587,Eury Pérez
592454,Tommy Kahnle
656222,Jalen Beeks
571901,Aaron Loup
628708,Yunior Marte
671106,Logan Allen
682967,Devin Sweet
502171,Alex Cobb
476595,Lucas Luetge
425794,Adam Wainwright
663903,Brady Singer
663321,Nick Hernandez
668909,Gavin Williams
641745,Brad Keller
670032,Nicky Lopez
592346,Chi Chi González
605446,Dereck Rodríguez
600986,Thyago Vieira
606149,Giovanny Gallegos
571539,Matt Carasiti
687145,Evan Justice
694363,Jared Shuster
641672,Thomas Hatch
676440,Tanner Bibee
669270,Joel Kuhnel
665625,Elvis Peguero
686294,Amos Willingham
666619,Gregory Santos
542881,Tyler Anderson
607536,Kyle Freeland
641329,Bryan Baker
664948,Anthony Misiewicz
595978,Austin Hedges
453178,Ian Kennedy
500871,Eduardo Escobar
656794,Sean Newcomb
593974,Wandy Peralta
687888,Brandon Walter
664874,Seby Zavala
543518,Scott McGough
670102,Bowden Francis
687396,Brent Headrick
656412,Alex Faedo
622088,Tejay Antone
453286,Max Scherzer
656322,Sam Coonrod
656786,Parker Mushinski
445276,Kenley Jansen
669165,Kyle Hurt
669276,Dylan Lee
571479,Andrew Bellatti
656887,Sean Reid-Foley
641447,Daniel Castano
605242,Michael Fulmer
607216,Joey Krehbiel
593833,Wander Suero
666168,Mason Thompson
657612,Tim Hill
663567,Peter Lambert
682175,Joe Jacques
681402,Gus Varland
676760,Ron Marinaccio
640454,Matt Krook
642528,Jonathan Loáisiga
679346,Edgar Navarro
592741,Chasen Shreve
669022,MacKenzie Gore
686839,Brendan White
621294,Ben Heller
680735,Austin Cox
622663,Luis Severino
656061,Albert Abreu
624522,Keegan Thompson
656970,Devin Smeltzer
666159,Matt Manning
643361,Kevin Herget
680689,Lyon Richardson
622103,Gerardo Reyes
668984,Casey Legumina
543521,Collin McHugh
647336,Michael Soroka
607359,Spencer Patton
669674,Sam Long
592527,Michael Mariot
657248,Glenn Otto
650489,Willi Castro
681807,David Fry
645261,Sandy Alcántara
664028,Brett Kennedy
663485,Cole Sands
669424,Jimmy Lambert
642239,Rob Zastryzny
669912,Kirby Snead
664129,Geoff Hartlieb
668933,Graham Ashcraft
668941,JoJo Romero
572020,James Paxton
628711,Julio Urías
608723,Austin Voth
663752,Cody Morris
682051,Garrett Hill
645444,José Herrera
668338,Tyson Miller
607457,Kyle Barraclough
596057,Daniel Norris
596295,Austin Gomber
621368,Taylor Hearn
664942,James Naile
670097,Zack Short
608348,Carson Kelly
592789,Noah Syndergaard
621051,Steven Wilson
669111,John McMillon
663542,Bryan Hudson
669854,Ronel Blanco
592473,Adam Kolarek
471911,Carlos Carrasco
622503,Nabil Crismatt
622110,Matt Duffy
642585,Félix Bautista
506433,Yu Darvish
665001,Trevor Kelley
681982,Grant Anderson
455117,Martín Maldonado
656232,Brandon Bielak
677865,Justin Bruihl
660271,Shohei Ohtani
621074,Michael Rucker
661527,Seth Martinez
682120,Tim Herrin
661383,Oliver Ortega
663687,Hogan Harris
670766,Darren McCaughan
641703,Brent Honeywell
669395,Dylan Coleman
676106,Emerson Hancock
663989,Nick Vespi
545121,Ildemaro Vargas
657697,Vinny Nittoli
670871,Guillo Zuñiga
666364,Jordan Balazovic
630023,Yonny Chirinos
657265,Peter Strzelecki
642701,Dennis Santana
622780,Ángel Perdomo
664062,Tony Gonsolin
605463,Tayler Scott
666721,Max Castillo
656457,Tyler Gilbert
