batter,player_name
666181,Will Benson
682622,Noelvi Marte
687952,Christian Encarnacion-Strand
676761,Irving Lopez
425794,Adam Wainwright
668800,Andrew Knizner
663886,Tyler Stephenson
682829,Elly De La Cruz
605361,Nick Martini
680700,Richie Palacios
663609,Luken Baker
691023,Jordan Walker
571912,Luke Maile
663457,Lars Nootbaar
669242,Tommy Edman
691026,Masyn Winn
665877,José Fermín
458015,Joey Votto
677592,Everson Pereira
672724,Oswald Peraza
665828,Oswaldo Cabrera
668472,Nick Pratto
680118,Dairon Blanco
686681,Michael Massey
658668,Edward Olivares
643396,Isiah Kiner-Falefa
543309,Kyle Higashioka
669224,Austin Wells
683011,Anthony Volpe
669004,MJ Melendez
521692,Salvador Pérez
677951,Bobby Witt
518934,DJ LeMahieu
664314,Estevan Florial
672580,Maikel García
622110,Matt Duffy
607208,Trea Turner
595281,Kevin Kiermaier
672386,Alejandro Kirk
665489,Vladimir Guerrero
668227,Randy Arozarena
670764,Taylor Walls
650490,Yandy Díaz
543807,George Springer
656305,Matt Chapman
542194,Christian Bethancourt
518792,Jason Heyward
682641,Luis Matos
596103,Austin Slater
671218,Heliot Ramos
605131,Austin Barnes
672275,Patrick Bailey
682617,Marco Luciano
527038,Wilmer Flores
664702,Myles Straw
665926,Andrés Giménez
594777,Kole Calhoun
608348,Carson Kelly
656716,Zach McKinstry
595956,Cam Gallagher
682848,Endy Rodríguez
665862,Jazz Chisholm
663647,Ke'Bryan Hayes
668804,Bryan Reynolds
669394,Jake Burger
605137,Josh Bell
624585,Jorge Soler
594807,Adam Duvall
543305,Aaron Hicks
592663,J. T. Realmuto
547180,Bryce Harper
664901,Danny Mendick
553882,Omar Narváez
641645,Luis Guillorme
650402,Gleyber Torres
682515,Logan Porter
592450,Aaron Judge
676369,Nelson Velázquez
641343,Jake Bauers
671221,Drew Waters
650391,Eloy Jiménez
676882,Chandler Seagle
660162,Yoán Moncada
641313,Tim Anderson
621020,Dansby Swanson
641355,Cody Bellinger
664023,Ian Happ
673548,Seiya Suzuki
543228,Yan Gomes
670770,TJ Friedl
671056,Iván Herrera
660766,Juan Yepez
668715,Spencer Steer
663697,Jonathan India
502671,Paul Goldschmidt
519058,Mike Moustakas
694384,Nolan Schanuel
666160,Mickey Moniak
649557,Aledmys Díaz
669127,Shea Langeliers
542208,Carlos Pérez
682998,Corbin Carroll
672515,Gabriel Moreno
572233,Christian Walker
502054,Tommy Pham
606466,Ketel Marte
669221,Sean Murphy
666906,Jake Alu
696100,Hunter Goodman
572191,Michael Taylor
676701,Alan Trejo
606192,Teoscar Hernández
543257,Robbie Grossman
664059,Sam Haggerty
641943,Joshua Palacios
650333,Luis Arráez
657088,Forrest Wall
663897,Luke Williams
643217,Andrew Benintendi
592518,Manny Machado
686676,Korey Lee
669720,Austin Hays
679845,Nick Loftin
664728,Kyle Isbel
672279,Michael Siani
578570,Juniel Querecuto
593871,Jorge Polanco
663538,Nico Hoerner
500743,Miguel Rojas
669701,Josh Smith
677649,Ezequiel Duran
595978,Austin Hedges
608671,Travis Jankowski
666801,Rodolfo Castro
663845,Alfonso Rivas
607043,Brandon Nimmo
519317,Giancarlo Stanton
670097,Zack Short
686531,Andre Lipcius
664913,Seth Brown
665120,Jared Walsh
641584,Jake Fraley
666163,Ben Rortvedt
643446,Jeff McNeil
605119,Brian Anderson
605204,J. D. Davis
672356,Gabriel Arias
605612,Harold Castro
571745,Mitch Haniger
673357,Luis Robert
681807,David Fry
669134,Luis Campusano
643393,Tony Kemp
675656,Kevin Smith
595453,Chad Wallach
675961,Alika Williams
680418,Tyler Cropley
676694,Jake Meyers
596129,Dan Vogelbach
543068,C. J. Cron
664040,Brandon Lowe
687462,Spencer Horwitz
571448,Nolan Arenado
649966,Luis Urías
670042,Luke Raley
657557,Paul DeJong
575929,Willson Contreras
666164,Blake Rutherford
668904,Royce Lewis
676475,Alec Burleson
656484,Tristan Gray
680716,Jonathan Ornelas
660620,Jonathan Araúz
592669,Hunter Renfroe
664056,Harrison Bader
656308,Michael Chavis
621043,Carlos Correa
676391,Ernie Clement
663611,Nick Madrigal
641933,Tyler O'Neill
677347,Kyren Paris
677941,Jordyn Adams
669087,Sam Huff
671213,Triston Casas
663905,Travis Blankenhorn
686894,Joey Wiemer
667472,Dane Myers
660644,Vidal Bruján
642136,Matt Thaiss
664770,Nathan Lukes
669357,Nolan Gorman
645444,José Herrera
663698,Joey Bart
642350,José Siri
