player_name,avg_obp
408234,0.33236574746008707
425794,0.0
443558,0.2901023890784983
444482,0.2953105196451204
444489,0.25
446334,0.31841652323580033
453568,0.3895424836601307
455117,0.2782089552238806
456781,0.3628177966101695
457705,0.4034825870646766
457759,0.352165725047081
458015,0.33026584867075665
462101,0.29955668144395187
467793,0.3530571992110454
474832,0.3572938689217759
488726,0.32628398791540786
493329,0.3196308724832215
500743,0.3055925432756325
500871,0.27808326787117044
501303,0.28169014084507044
501659,0.10294117647058823
502054,0.34142988084326303
502110,0.32645693656523983
502671,0.3745132743362832
506702,0.16363636363636364
514888,0.38648488441019563
514917,0.21052631578947367
516416,0.3200306983883346
516472,0.6363636363636364
516782,0.30569948186528495
518542,0.0
518586,0.2692307692307692
518595,0.28071672354948807
518626,0.32205513784461154
518692,0.4030118321979204
518735,0.3180987202925046
518792,0.3493894165535957
518934,0.36351706036745407
519058,0.3072916666666667
519203,0.32213209733487835
519303,0.45454545454545453
519317,0.27796610169491526
521692,0.2732673267326733
527038,0.3719806763285024
534606,0.3137254901960784
541645,0.20736434108527133
541650,0.55
542194,0.23837700760777683
542208,0.31657608695652173
542303,0.35714285714285715
542364,0.3582089552238806
542583,0.27882599580712786
542932,0.3703249540159411
542963,0.41935483870967744
543063,0.2858312858312858
543068,0.313953488372093
543228,0.3281853281853282
543257,0.3662822624931356
543281,0.2782608695652174
543305,0.3749157113958193
543308,0.3582089552238806
543309,0.2829076620825147
543333,0.30205949656750575
543482,0.39325842696629215
543510,0.25355450236966826
543543,0.3536231884057971
543592,0.3113207547169811
543685,0.4372670807453416
543760,0.35226179018286813
543807,0.3344988344988345
543877,0.2861378799110452
543939,0.2705078125
544725,0.17647058823529413
545121,0.34472934472934474
545341,0.3329390892962744
545350,0.2844311377245509
545358,0.0
545361,0.35823754789272033
546994,0.17647058823529413
547172,0.4722222222222222
547180,0.4126766985864113
547379,0.19607843137254902
547982,0.42857142857142855
547989,0.32162588792423047
553869,0.3208208208208208
553882,0.33828382838283827
553988,0.43902439024390244
553993,0.3270440251572327
570481,0.40425531914893614
570482,0.34994462901439644
570560,0.35555555555555557
570731,0.29607250755287007
571431,0.358974358974359
571448,0.3194192377495463
571466,0.31225296442687744
571657,0.3120665742024965
571679,0.7142857142857143
571740,0.10256410256410256
571745,0.3028953229398664
571771,0.314019658561821
571875,0.27956989247311825
571912,0.34575835475578404
571946,0.0
571970,0.36064940085040587
571976,0.25675675675675674
571980,0.16176470588235295
572008,0.2689655172413793
572039,0.6153846153846154
572041,0.23361344537815126
572138,0.3127853881278539
572191,0.2657601977750309
572204,0.3125
572228,0.2875
572233,0.36655405405405406
572287,0.2714723926380368
572761,0.35276679841897235
572816,0.2889983579638752
573131,0.3205882352941177
573262,0.3216739537788882
575929,0.3724310776942356
578428,0.3684210526315789
578570,0.20967741935483872
588751,0.0
592144,0.1891891891891892
592178,0.3365455893254262
592192,0.39396751740139213
592200,0.34438775510204084
592205,0.20930232558139536
592206,0.3242841204908888
592261,0.5384615384615384
592273,0.3202776400594943
592325,0.24242424242424243
592348,0.3235294117647059
