player_name,avg_obp_allowed
425794,0.4161882893226177
425844,0.3175376439326838
434378,0.2944866292505777
445276,0.33159268929503916
445926,0.2967409948542024
446372,0.3763837638376384
448179,0.37920250195465205
450203,0.3456445993031359
453178,0.3323442136498516
453268,0.435589519650655
453286,0.29448301059554255
455117,0.6785714285714286
455119,0.2682602921646746
456501,0.3535714285714286
456713,0.3695652173913043
458681,0.33965785381026437
471911,0.37807881773399016
472551,0.4519774011299435
472610,0.3420260782347041
476594,0.7272727272727273
476595,0.3938356164383562
477132,0.2933458294283037
488984,0.27427184466019416
489119,0.30982905982905984
489265,1.0
489446,0.3063063063063063
491624,0.23684210526315788
493603,0.3212121212121212
500743,0.4166666666666667
500779,0.3228813559322034
500871,0.23255813953488372
502043,0.3453333333333333
502083,0.4507042253521127
502085,0.3088768115942029
502171,0.32099758648431215
502179,0.5789473684210527
502202,0.3211267605633803
502624,0.35206258890469416
503449,0.5263157894736842
506433,0.31904103273397877
506702,0.3333333333333333
516853,0.5102040816326531
517008,0.48717948717948717
518397,0.3265895953757225
518489,0.29789473684210527
518516,0.4624145785876993
518585,0.28975265017667845
518617,0.35856573705179284
518626,0.0
518876,0.3092020592020592
518886,0.30856709628506446
519008,0.39814814814814814
519043,0.29365079365079366
519076,0.6904761904761905
519151,0.26605504587155965
519242,0.29435957696827264
519293,0.2765957446808511
519326,0.3333333333333333
521230,0.1625
523260,0.31633986928104574
523989,0.6428571428571429
527048,0.36929099608525445
527054,0.29608938547486036
541640,0.35714285714285715
542194,0.8
542208,0.631578947368421
542585,0.37098344693281404
542609,0.8387096774193549
542881,0.34347826086956523
542888,0.2623152709359606
542914,0.3646112600536193
542947,0.358695652173913
543037,0.27055702917771884
543056,0.271264367816092
543063,0.5
543101,0.29892336922102597
543135,0.3041637261820748
543243,0.30363036303630364
543272,0.3675889328063241
543281,0.8918918918918919
543294,0.28878281622911695
543339,0.375
543351,0.2320675105485232
543475,0.3235812477969686
543507,0.34987593052109184
543510,0.42857142857142855
543518,0.3082298136645963
543521,0.3719165085388994
543543,0.6129032258064516
543548,0.45098039215686275
543594,0.43243243243243246
543766,0.3676092544987147
543859,0.28345864661654135
543901,0.2824858757062147
544727,0.46204620462046203
545121,0.35714285714285715
