player_name
猛登
陳琥
廖乙忠
蔡齊哲
威能帝
陳克羿
舒治浩
黃子鵬
邱駿威
葉家淇
陳鴻文
艾速特
李振昌
小野寺賢人
王躍霖
黃群
賴鴻誠
羅昂
李其峰
江承峰
劉予承
江承諺
雷公
陳暐皓
郭俊麟
辛俊昇
邱浩鈞
裴瑞茲
陳韻文
哈瑪星
林詩翔
魏碩成
林暉盛
謝榮豪
余謙
王凱程
呂彥青
吳俊偉
魔神樂
黃偉晟
陳冠宇
陳柏豪
郭郁政
銳歐
呂詠臻
林凱威
羅華韋
廖任磊
張景淯
黃保羅
江國豪
林旺熙
富藍戈
李東洺
王維中
劉昱言
吳君奕
勝騎士
羅戈
曾峻岳
王志煊
蘇俊璋
陳柏清
巫柏葳
許峻暘
德保拉
施子謙
楊達翔
布雷克
劉軒荅
王鏡銘
艾璞樂
陳冠偉
林詔恩
吳俊杰
王尉永
徐若熙
陳禹勳
徐基麟
彭識穎
謝葆錡
陳正毅
霸威斯
莊昕諺
後勁
伍祐城
林逸達
肯特
林子昱
象騎士
鄭凱文
吳承諭
許育銘
布藍登
藍愷青
賴智垣
吳世豪
曾品洋
歐書誠
江國謙
伍鐸
戈威士
陳冠勳
李建勳
林鋅杰
呂偉晟
盧孟揚
杰戈
岳少華
髙塩將樹
鈴木駿輔
克迪
鋼龍
班恩
張瑞麟
張奕
黃竣彥
陳宇宏
李超
曹祐齊
李家明
吉田一将
胡智爲
潘威倫
陳仕朋
鑀龍
王柏傑
林子崴
趙璟榮
郭俞延
古林睿煬
宋文華
姚杰宏
黃恩賜
楊彬
尹柏淮
陳冠豪
黃紹睿
江少慶
傅于剛
王溢正
陳柏均
李吳永勤
魔力藍
鳥松
游霆崴
劉家愷
笠原祥太郎
林佳緯
曾仁和
賴胤豪
曾家輝
温展樂
鄭澔
李嘉祥
鄭鈞仁
范柏絜
林栚呈
威斯佛
王奕凱
陳品宏
楊孟沅
劉家翔
盧冠宇
洪敏暘
林華偉
張喜凱
道鉑戈
